GEOID10,GEOID_MUNI,MUN_NAME,SQMI_LAND,CurPEV,FutPEV,CuPEV_SM,FuPEV_SM,FC_KD,FC_CE,FC_KD_SM,FC_CE_SM,FC_KPE,SC_KD,SC_CE,SC_KD_SM,SC_CE_SM,SC_KPE,PC_KD,PC_CE,PC_KD_SM,PC_CE_SM,PC_KPE,PASS_VEH,POP,HOUSUNIT,JOBS,CuPEVPop,FuPEVPop,CuPEV_HU,FuPEV_HU,PerCuPEV,PerFuPEV,FC_KD_JB,FC_CE_JB,SC_KD_JB,SC_CE_JB,PC_KD_JB,PC_CE_JB
420010301011,4200141672,Latimore Township,21.13957236,2,85,0.09461,4.02089,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,2586,958,776,0.08,3.29,0.21,8.87,0.105485232,4.295098535,0,0,0,0,0,0
420010301021,4200163616,Reading Township,7.22244243,1,20,0.13846,2.76915,2.65202,1,0.367192029,0.138457317,2.652023292,0.702138025,1,0.097216147,0.138457317,0.702138025,0.460493821,1,0.063758739,0.138457317,0.460493821,783,1387,454,416,0.07,1.44,0.22,4.41,0.127713921,2.493765586,0.006375056,0.002403846,0.001687832,0.002403846,0.001106956,0.002403846
420010301022,4200163616,Reading Township,6.967288363,3,131,0.43058,18.80215,69.72647,6,10.00769052,0.86116717,11.62107762,55.62617684,4,7.983906212,0.574111446,13.90654421,19.06739858,2,2.736702945,0.287055723,9.533699292,1907,2322,858,697,0.13,5.64,0.35,15.27,0.157315155,6.437346437,0.100037971,0.008608321,0.079808001,0.005738881,0.027356382,0.00286944
420010301023,4200163616,Reading Township,12.12447112,1,21,0.08248,1.73203,33.55427,4,2.767483092,0.329911298,8.388567203,18.63362348,2,1.536860726,0.164955649,9.316811742,6.027740468,1,0.49715492,0.082477824,6.027740468,1293,2100,790,630,0.05,1.00,0.13,2.66,0.07733952,1.599390708,0.053260744,0.006349206,0.02957718,0.003174603,0.009567842,0.001587302
420010302001,4200136424,Huntington Township,25.30399341,2,53,0.07904,2.09453,325.36051,22,12.85806965,0.869427985,14.78911408,220.8878562,11,8.729367442,0.434713992,20.0807142,54.18711291,7,2.141445108,0.276636177,7.74101613,2026,2940,1120,882,0.07,1.80,0.18,4.73,0.098716683,2.551757342,0.368889467,0.024943311,0.250439746,0.012471655,0.061436636,0.007936508
420010302002,4200178160,Tyrone Township,21.47634881,1,26,0.04656,1.21063,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,2258,845,677,0.04,1.15,0.12,3.08,0.067567568,1.727574751,0,0,0,0,0,0
420010303001,4200148608,Menallen Township,33.21303822,2,49,0.06022,1.47532,89.96359,8,2.708682963,0.240869262,11.24544885,49.36801957,4,1.486404804,0.120434631,12.34200489,19.97113496,2,0.601304067,0.060217315,9.98556748,1312,2238,819,671,0.09,2.19,0.24,5.98,0.152439024,3.605592347,0.134073906,0.011922504,0.0735738,0.005961252,0.029763241,0.002980626
420010303002,4200148608,Menallen Township,9.936985783,1,23,0.10063,2.31459,153.38593,12,15.43586137,1.207609658,12.78216125,119.1580828,7,11.99137097,0.704438967,17.02258326,40.45686435,4,4.071341675,0.402536553,10.11421609,1534,2020,672,606,0.05,1.14,0.15,3.42,0.065189048,1.4781491,0.253112104,0.01980198,0.1966305,0.011551155,0.066760502,0.00660066
420010304001,4200127320,Franklin Township,31.03769155,0,44,0.00000,1.41763,169.28437,12,5.45415451,0.386626692,14.10703045,79.6256683,6,2.565450725,0.193313346,13.27094472,35.88423812,4,1.156150355,0.128875564,8.97105953,955,1535,639,460,0.00,2.87,0.00,6.89,0,4.404404404,0.36800949,0.026086957,0.173099279,0.013043478,0.078009213,0.008695652
420010304002,4200102928,Arendtsville Borough,1.929427392,0,4,0.00000,2.07315,42.55043,3,22.05339862,1.554865455,14.18347713,11.84547576,2,6.139373683,1.03657697,5.922737878,6.80327821,1,3.526060756,0.518288485,6.80327821,764,959,330,288,0.00,0.42,0.00,1.21,0,0.520833333,0.147744553,0.010416667,0.041130124,0.006944444,0.023622494,0.003472222
420010304003,4200127320,Franklin Township,14.41726968,0,14,0.00000,0.97106,55.18801,4,3.827909786,0.277445043,13.79700192,37.18675754,2,2.579320383,0.138722521,18.59337877,8.659220052,1,0.600614419,0.069361261,8.659220052,825,1474,571,442,0.00,0.95,0.00,2.45,0,1.668653159,0.124859746,0.009049774,0.084132936,0.004524887,0.019590996,0.002262443
420010304004,4200127320,Franklin Township,7.984742842,0,22,0.00000,2.75525,70.01227,6,8.768255717,0.751433092,11.66871118,28.40840097,3,3.557835428,0.375716546,9.46946699,10.00630894,2,1.253178611,0.250477697,5.00315447,954,1178,519,353,0.00,1.87,0.00,4.24,0,2.254098361,0.198335034,0.016997167,0.080477057,0.008498584,0.028346484,0.005665722
420010304005,4200127320,Franklin Township,13.52523199,0,11,0.00000,0.81329,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,650,288,195,0.00,1.69,0.00,3.82,0,2.235772358,0,0,0,0,0,0
420010305001,4200110456,Butler Township,14.84363573,0,17,0.00000,1.14527,401.04326,28,27.01785898,1.886330311,14.32297346,316.2762305,15,21.3071943,1.010534095,21.08508204,98.10976733,8,6.609550998,0.538951518,12.26372092,1443,2118,803,635,0.00,0.80,0.00,2.12,0,1.164383562,0.631564184,0.044094488,0.498072804,0.023622047,0.154503571,0.012598425
420010305002,4200110456,Butler Township,9.771280775,3,63,0.30702,6.44747,105.02063,8,10.74788739,0.818725834,13.12757817,99.07666659,5,10.13957831,0.511703646,19.81533332,20.87619303,2,2.136484819,0.204681458,10.43809652,1218,1638,677,491,0.18,3.85,0.44,9.31,0.246305419,4.929577465,0.213891294,0.016293279,0.201785472,0.010183299,0.042517705,0.00407332
420010306001,4200174680,Straban Township,12.72225494,1,18,0.07860,1.41484,91.41352,6,7.185323698,0.471614508,15.23558665,80.5867748,4,6.334315352,0.314409672,20.1466937,35.64158199,3,2.801514523,0.235807254,11.88052733,883,1518,432,455,0.07,1.19,0.23,4.17,0.113250283,2,0.200908835,0.013186813,0.177113791,0.008791209,0.078333147,0.006593407
420010306002,4200174680,Straban Township,14.7835231,0,15,0.00000,1.01464,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,1178,516,353,0.00,1.27,0.00,2.91,0,1.766784452,0,0,0,0,0,0
420010306003,4200174680,Straban Township,6.791088712,1,30,0.14725,4.41755,1232.17677,79,181.4402399,11.63289177,15.59717425,1019.64322,46,150.144294,6.773582551,22.16615695,399.5687998,28,58.83722283,4.123050248,14.27031428,1409,2241,834,672,0.04,1.34,0.12,3.60,0.070972321,2.086230876,1.833596377,0.117559524,1.51732622,0.068452381,0.594596428,0.041666667
420010307001,4200151776,Mount Pleasant Township,13.7584041,2,45,0.14537,3.27073,41.03807,4,2.98276364,0.290731394,10.25951688,44.35762389,2,3.224038454,0.145365697,22.17881195,13.35670964,1,0.970803702,0.072682848,13.35670964,1758,2523,860,757,0.08,1.78,0.23,5.23,0.113765643,2.498611882,0.05421145,0.005284016,0.058596597,0.002642008,0.017644266,0.001321004
420010307002,4200151776,Mount Pleasant Township,16.65321276,1,45,0.06005,2.70218,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,2170,958,651,0.05,2.07,0.10,4.70,0.067114094,2.933507171,0,0,0,0,0,0
420010307003,4200107560,Bonneauville Borough,0.966301734,3,39,3.10462,40.36006,17.37816,2,17.98420117,2.06974688,8.689082392,27.80772391,1,28.77747491,1.03487344,27.80772391,2.331619466,1,2.412931057,1.03487344,2.331619466,1073,1881,672,564,0.16,2.07,0.45,5.80,0.279589935,3.516681695,0.030812349,0.003546099,0.049304475,0.00177305,0.004134077,0.00177305
420010308001,4200120792,East Berlin Borough,0.700201671,0,9,0.00000,12.85344,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,1418,577,425,0.00,0.63,0.00,1.56,0,0.858778626,0,0,0,0,0,0
420010308002,4200132144,Hamilton Township,11.5212973,1,63,0.08680,5.46813,181.72448,13,15.77291846,1.128345156,13.97880638,97.15297261,7,8.432468153,0.607570468,13.87899609,36.23119624,4,3.144714982,0.347183125,9.057799061,1633,2182,817,655,0.05,2.89,0.12,7.71,0.061236987,3.716814159,0.277441959,0.019847328,0.148325149,0.010687023,0.055314803,0.00610687
420010308003,4200132144,Hamilton Township,2.699322819,0,7,0.00000,2.59324,142.75802,11,52.88660516,4.075096139,12.97800183,75.59906866,6,28.00667935,2.222779712,12.59984478,21.60533319,3,8.003982716,1.111389856,7.201777731,1027,1335,483,400,0.00,0.52,0.00,1.45,0,0.676982592,0.35689505,0.0275,0.188997672,0.015,0.054013333,0.0075
420010308004,4200105880,Berwick Township,7.555816548,1,44,0.13235,5.82333,315.42565,21,41.7460705,2.779315758,15.02026906,216.291103,12,28.62577482,1.588180433,18.02425859,74.24157564,7,9.825751482,0.926438586,10.60593938,1863,2197,894,659,0.05,2.00,0.11,4.92,0.053676865,2.308499475,0.478642868,0.031866464,0.328211082,0.018209408,0.11265793,0.010622155
420010309001,4200157472,Oxford Township,1.021512026,0,9,0.00000,8.81047,209.31908,15,204.9110322,14.68411493,13.95460559,149.1817935,8,146.0401734,7.831527963,18.64772419,48.84539782,5,47.81676236,4.894704977,9.769079564,1546,1955,682,586,0.00,0.46,0.00,1.32,0,0.578778135,0.357199802,0.02559727,0.254576439,0.013651877,0.083353921,0.008532423
420010309002,4200157472,Oxford Township,1.110760313,0,14,0.00000,12.60398,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,2091,729,627,0.00,0.67,0.00,1.92,0,1.090342679,0,0,0,0,0,0
420010309003,4200157472,Oxford Township,5.259819133,1,16,0.19012,3.04193,328.74869,26,62.50190029,4.943135751,12.64418042,204.7532809,14,38.92781781,2.661688481,14.62523435,58.56186201,7,11.13381668,1.330844241,8.365980287,1702,2368,941,710,0.04,0.68,0.11,1.70,0.058754407,0.931857892,0.463026325,0.036619718,0.288384903,0.01971831,0.082481496,0.009859155
