MUN_NAME,GEOID_10,ACRES,USEACRE,EUPOPEM,EMIACRE,EMPOPE,EMSQACRE,EMSQPOPE
Mantua Township,3401543440,10288.7452,0.1670,0.0843,14.6740,7.4055,13.6699,6.8988
Pine Valley Borough,3400758920,623.1229,0.0140,0.0442,1.0531,3.3311,-0.6150,-1.9453
Waterford Township,3400777630,23144.6952,0.0436,0.0703,3.8014,6.1273,2.6275,4.2352
Winslow Township,3400781740,37255.2222,0.1052,0.0784,9.1055,6.7852,8.2683,6.1614
West Norriton Township,4209183696,3911.2495,0.5162,0.0803,43.5377,6.7730,42.3382,6.5864
Cheltenham Township,4209112968,5778.8559,0.6948,0.0727,58.0964,6.0818,58.0338,6.0752
Upper Dublin Township,4209179008,8501.3341,0.4260,0.0758,36.4449,6.4849,36.4531,6.4864
East Norriton Township,4209121600,3889.2955,0.5038,0.0791,43.1845,6.7823,43.0221,6.7568
Whitpain Township,4209184888,8225.7187,0.3778,0.0796,32.0891,6.7593,31.3595,6.6056
Schwenksville Borough,4209168328,267.7565,1.0201,0.1504,99.6860,14.6980,98.3056,14.4944
Green Lane Borough,4209131088,210.4522,0.3545,0.1092,31.4427,9.6884,29.8239,9.1896
Souderton Borough,4209171856,715.2694,0.7347,0.0551,81.5404,6.1168,80.4081,6.0318
Upper Frederick Township,4209179040,6450.1892,0.0426,0.0620,4.3529,6.3308,3.6486,5.3064
Upper Salford Township,4209179280,5750.4850,0.0605,0.0747,5.8165,7.1915,5.1620,6.3823
Worcester Township,4209186496,10405.3174,0.1019,0.0792,9.2976,7.2256,8.9538,6.9585
Collegeville Borough,4209115192,1026.9331,0.6281,0.0815,52.7140,6.8411,52.5542,6.8204
Washington Township,3400577150,66501.8149,0.0013,0.0904,0.1197,8.6638,-1.0184,-73.6908
Harrison Township,3401530180,12178.9066,0.1096,0.0810,9.8092,7.2509,8.4185,6.2229
Swedesboro Borough,3401571850,494.6436,0.6593,0.0771,49.1105,5.7415,47.4636,5.5489
Pitman Borough,3401559070,1442.7212,0.6194,0.0785,52.5139,6.6581,50.6765,6.4252
Chesilhurst Borough,3400712550,1106.2662,0.1195,0.0695,9.1215,5.3054,7.2388,4.2103
Glassboro Borough,3401526340,5990.1624,0.4806,0.1083,37.3601,8.4212,35.7112,8.0495
Burlington Township,3400508950,8986.7777,0.5356,0.1201,39.2825,8.8053,37.6698,8.4438
Newfield Borough,3401551390,1114.0142,0.1807,0.1019,17.1232,9.6584,16.6941,9.4164
Trappe Borough,4209177304,1328.8013,0.3510,0.0819,30.8105,7.1864,29.6101,6.9064
Lower Gwynedd Township,4209144920,5948.3543,0.3695,0.1185,29.1468,9.3444,29.1040,9.3306
North Wales Borough,4209155512,374.0261,1.0005,0.0802,85.1428,6.8207,84.2420,6.7485
Lansdale Borough,4209141432,1917.3543,1.0498,0.0829,88.0358,6.9509,88.0767,6.9541
Skippack Township,4209171016,8923.9767,0.1265,0.0588,11.6443,5.4153,10.6421,4.9492
Hatfield Borough,4209133112,407.5101,2.0256,0.1853,140.0128,12.8045,138.8912,12.7019
New Hanover Township,4209153664,13836.6619,0.0498,0.0475,4.5821,4.3679,3.4155,3.2559
Lower Frederick Township,4209144912,5215.4648,0.0744,0.0646,7.2767,6.3231,6.1718,5.3630
Lower Salford Township,4209145096,9303.6222,0.2008,0.0747,17.8495,6.6408,16.9639,6.3113
Hopewell Borough,3402133150,463.4636,0.6303,0.1004,55.3070,8.8055,53.5899,8.5321
Bass River Township,3400503370,50113.0295,0.0043,0.0709,0.3889,6.4853,-0.5278,-8.8019
South Harrison Township,3401569030,10182.0334,0.0284,0.0700,2.3072,5.6771,1.9035,4.6837
Elk Township,3401521060,12362.9262,0.0381,0.0896,3.0858,7.2499,2.2222,5.2209
Clayton Borough,3401513360,4643.2020,0.2033,0.0880,17.1260,7.4116,15.0179,6.4993
Franklin Township,3401524840,36053.6441,0.0478,0.0818,4.0967,7.0197,3.5249,6.0398
Monroe Township,3401547250,30015.7256,0.1296,0.0809,10.8517,6.7744,9.4382,5.8920
Franconia Township,4209127280,8869.4880,0.2047,0.0870,15.7319,6.6855,14.6510,6.2262
Horsham Township,4209135808,11073.9882,0.3829,0.0744,33.6808,6.5441,33.5896,6.5264
Montgomery Township,4209150640,6804.5330,0.5174,0.0836,45.1920,7.3005,44.1646,7.1345
Perkiomen Township,4209159392,3146.1721,0.2554,0.0689,22.4009,6.0438,20.9184,5.6438
Towamencin Township,4209177152,6192.3562,0.2992,0.0718,26.9986,6.4750,26.1647,6.2750
Upper Gwynedd Township,4209179056,5198.8518,1.5555,0.1971,102.1428,12.9433,100.8928,12.7849
Hatfield Township,4209133120,6355.8805,0.3774,0.0683,30.8404,5.5785,29.6076,5.3555
Bordentown Township,3400506700,5922.9504,0.2440,0.0833,20.2874,6.9221,19.0026,6.4838
Chesterfield Township,3400512670,13728.0002,0.0682,0.1003,5.8925,8.6590,5.4593,8.0223
Brooklawn Borough,3400708170,339.5628,0.8019,0.0935,66.7320,7.7815,64.9319,7.5716
Maple Shade Township,3400543740,2449.7899,0.7920,0.0753,66.8775,6.3613,65.0607,6.1885
Evesham Township,3400522110,18931.0139,0.2448,0.0634,21.0866,5.4631,19.6203,5.0832
Palmyra Borough,3400555800,1672.0062,0.4046,0.0726,34.3075,6.1534,33.3038,5.9734
Rockledge Borough,4209165568,221.2096,0.9887,0.0625,83.6873,5.2923,82.5499,5.2204
Conshohocken Borough,4209115848,653.3699,2.3429,0.0884,189.7196,7.1552,189.7385,7.1559
Abington Township,4209100156,9909.1311,0.6842,0.0786,55.6128,6.3896,55.4520,6.3711
Springfield Township,4209173088,4313.7850,0.5127,0.0806,42.2918,6.6467,42.4789,6.6761
Whitemarsh Township,4209184624,9419.5082,0.3598,0.0883,30.3493,7.4466,29.0480,7.1273
Plymouth Township,4209161664,5427.3134,0.8701,0.1138,69.6103,9.1053,69.9732,9.1528
Norristown Borough,4209154656,2317.6886,1.3157,0.0629,114.5570,5.4736,114.5947,5.4754
Ambler Borough,4209102264,546.8738,1.4511,0.0819,126.0497,7.1139,126.4382,7.1358
Bridgeport Borough,4209108568,451.1863,1.5798,0.1057,143.6733,9.6120,144.0126,9.6347
Jenkintown Borough,4209138000,372.1016,1.9865,0.0819,173.0358,7.1319,173.0257,7.1315
North Hanover Township,3400553070,11196.3613,0.0433,0.0535,4.6534,5.7506,4.4281,5.4722
Hamilton Township,3402129310,25733.1460,0.4753,0.0881,38.9061,7.2109,37.3792,6.9279
Cherry Hill Township,3400712280,15464.3139,0.7106,0.0796,59.0074,6.6057,57.1140,6.3938
Shamong Township,3400566810,28774.2216,0.0190,0.0673,1.7547,6.2225,0.5793,2.0545
Delran Township,3400517440,4651.5323,0.3831,0.0744,32.6803,6.3476,32.5378,6.3200
Cinnaminson Township,3400512940,5095.4792,0.3820,0.0734,31.9971,6.1495,31.9779,6.1458
Eastampton Township,3400518790,3720.6132,0.1265,0.0676,11.1263,5.9478,10.0236,5.3583
Riverton Borough,3400563660,614.0696,0.4658,0.0798,37.7397,6.4662,35.9663,6.1623
Philadelphia City,4210160000,90989.4655,1.9591,0.0762,181.3748,7.0518,180.8390,7.0309
Moorestown Township,3400547880,9578.6988,0.4350,0.0812,36.2426,6.7692,34.4176,6.4283
Mount Holly Township,3400548900,1835.6581,0.7263,0.0771,60.3257,6.4062,58.7284,6.2366
Mount Laurel Township,3400549020,14057.0517,0.4392,0.0780,37.8760,6.7300,35.8660,6.3729
Hainesport Township,3400529010,4341.3961,0.1815,0.0858,15.2166,7.1954,15.2673,7.2194
Pennsauken Township,3400757660,7786.5186,0.7664,0.0973,61.8446,7.8506,60.0588,7.6239
Millbourne Borough,4204549504,46.6404,1.2590,0.0383,115.9662,3.5305,114.8189,3.4955
Upper Merion Township,4209179136,11116.7872,0.7448,0.0967,62.9899,8.1749,62.8771,8.1603
Narberth Borough,4209152664,315.8771,1.5845,0.0788,127.5472,6.3468,127.5249,6.3457
Tavistock Borough,3400772240,176.2952,0.0005,0.0016,0.0649,0.2081,-1.6410,-5.2599
Lawnside Borough,3400739420,914.4461,0.5230,0.0989,42.9227,8.1180,40.8254,7.7213
Bellmawr Borough,3400704750,1981.7670,0.7514,0.0913,62.2910,7.5655,62.6617,7.6105
Voorhees Township,3400776220,7435.9621,0.5052,0.0756,44.2887,6.6266,42.7281,6.3931
